"a","b","c"
"-0.4030264624911308","0.5598745496930929","0.7552732765837198"
"-1.7950623985555558","-0.19529096820893035","-0.5507564378674887"
"-2.151131926398676","-0.9153555453197798","0.8483986080862593"
"-2.213299712589293","2.3633395845233323","0.1299953998671199"
"0.6944889727161473","0.3403618588316733","1.0778166623472378"
"-1.1615298464767665","-0.37769120518367455","-0.2900550146167669"
"1.2391075524770283","0.6355713890761568","0.5060922705495678"
"-0.02788863354969921","0.5251839979595172","-0.37175171628525305"
"1.1313591996036818","0.2564746443673867","0.05222260163368722"
"-0.9346611835393986","0.1457341696127648","0.1346640479451324"
